run_id,boat_id,wafer_id,wafer_label,wafer_number,position,position_code,wafer_broken_flag,valid_final_measurement,temp_C,oxidation_time_min,loading_time_min,unloading_time_min,cooling_time_min,native_oxide_nm,native_std_nm,native_uniformity,final_thickness_nm,final_std_nm,final_uniformity,growth_nm,pair_pct_difference,master_row,predicted_growth_nm,residual_nm
R06,6,W11,11.0,11,source,0,False,True,1050.0,13.216666666666669,0.8,1.3666666666666667,10.0,2.906,0.007809501022,0.997,67.919,4.72,0.931,65.01299999999999,4.85,13,187.26490738888128,-122.25190738888129
R06,6,W12,12.0,12,door,1,False,True,1050.0,13.216666666666669,0.8,1.3666666666666667,10.0,2.946,0.08179684959,0.972,64.625,4.534,0.93,61.679,,14,187.26490738888128,-125.58590738888128
R07,7,W13,13.0,13,source,0,False,True,1100.0,16.7,1.5333333333333334,1.6666666666666667,10.0,2.889,0.01368569456,0.995,249.15101864864863,10.106172766274517,0.959,246.26201864864865,3.025,15,266.092544505636,-19.83052585698735
R07,7,W14,14.0,14,door,1,False,True,1100.0,16.7,1.5333333333333334,1.6666666666666667,10.0,3.022,0.1410314929,0.953,241.61476135135132,10.200782787172136,0.958,238.59276135135133,,16,266.092544505636,-27.49978315428467
R08,8,W15,15 BROKE ON ENTER N/A,15,source,0,True,False,1100.0,29.133333333333333,1.5666666666666669,2.25,10.0,3.022,0.1410314929,0.953,,,,,,17,343.1587975668178,
R08,8,W16,16.0,16,door,1,False,True,1100.0,29.133333333333333,1.5666666666666669,2.25,10.0,2.882,0.01600908824,0.994,269.3306827027027,13.120019171051082,0.951,266.4486827027027,,18,343.1587975668178,-76.7101148641151
R09,9,W17,17.0,17,source,0,False,True,1100.0,44.11666666666667,2.033333333333333,1.8,10.0,2.884,0.0161483401,0.994,367.2619810000001,13.87338360213414,0.962,364.377981,9.148,19,420.1884124984888,-55.81043149848881
R09,9,W18,18.0,18,door,1,False,True,1100.0,44.11666666666667,2.033333333333333,1.8,10.0,2.884,0.0161483401,0.994,333.66520486486485,13.545304498818926,0.959,330.78120486486483,,20,420.1884124984888,-89.40720763362395
R10,10,W19,19.0,19,source,0,False,True,1150.0,14.7,1.5833333333333333,1.4833333333333334,10.0,2.888,0.04914905295,0.983,324.551611,0.8745993133940878,0.997,321.663611,1.364,21,308.12804464490625,13.53556635509375
R10,10,W20,20.0,20,door,1,False,True,1150.0,14.7,1.5833333333333333,1.4833333333333334,10.0,2.819,0.01971934521,0.993,320.12398540540534,1.0342549150365858,0.997,317.3049854054053,,22,308.12804464490625,9.176940760499065
R11,11,W21,21.0,21,source,0,False,True,1150.0,30.2,1.0833333333333333,1.6666666666666667,10.0,3.056,0.1050427299,0.966,438.38910489189186,6.316751158762119,0.986,435.3331048918919,6.936,23,418.4564648068976,16.87664008499428
R11,11,W22,22.0,22,door,1,False,True,1150.0,30.2,1.0833333333333333,1.6666666666666667,10.0,2.857,0.04472159466,0.984,407.98137918918934,7.825560141539022,0.981,405.1243791891893,,24,418.4564648068976,-13.332085617708287
R12,12,W23,23.0,23,source,0,False,True,1150.0,45.016666666666666,0.9333333333333332,0.8666666666666667,10.0,3.001,0.02047364997,0.993,596.463688972973,1.3260721227590408,0.998,593.4626889729731,0.815,25,503.66591745453195,89.79677151844112
R12,12,W24,24.0,24,door,1,False,True,1150.0,45.016666666666666,0.9333333333333332,0.8666666666666667,10.0,2.8059231351351346,0.0208238602718165,0.993,591.6052114324324,1.1734426386015144,0.998,588.7992882972973,,26,503.66591745453195,85.13337084276532
